1,0.0,Stimulus,circle,green,left,small
2,0.0,Show,Phase 2,Automatic,1,
3,2.4,Touch,X = 510,Y = 174,Fail,
4,5.6,Touch,X = 415,Y = 150,Fail,
5,8.1,Touch,X = 161,Y = 513,Fail,
6,10.7,Touch,X = 619,Y = 494,Fail,
7,13.4,Touch,X = 631,Y = 134,Fail,
8,15.0,Hide,Phase 2,Automatic,,
9,15.0,Reward,Phase 2,Automatic,,
10,18.4,Touch,X = 207,Y = 285,Partial,
11,23.5,IR Break,,,,
12,23.5,Delay,Phase 2,Automatic,60,
13,26.9,Touch,X = 317,Y = 314,Partial,
14,29.8,Touch,X = 425,Y = 434,Fail,
15,33.7,IR Break,,,,
16,37.6,IR Break,,,,
17,40.0,Touch,X = 497,Y = 131,Fail,
18,43.7,Touch,X = 306,Y = 144,Fail,
19,47.4,Touch,X = 421,Y = 472,Fail,
20,49.9,Touch,X = 562,Y = 300,Fail,
21,53.6,Touch,X = 391,Y = 298,Fail,
22,59.0,Touch,X = 474,Y = 413,Fail,
23,72.1,Touch,X = 571,Y = 151,Fail,
24,74.8,IR Break,,,,
25,77.4,IR Break,,,,
26,83.5,End,Phase 2,Automatic,,
27,83.5,Show,Phase 2,Automatic,2,
28,86.5,Touch,X = 662,Y = 292,Fail,
29,90.4,Touch,X = 228,Y = 271,Success,
30,90.4,Reward,Phase 2,2,Automatic,
31,92.9,Touch,X = 442,Y = 345,Fail,
32,96.6,Touch,X = 403,Y = 164,Fail,
33,100.4,IR Break,,,,
34,100.5,Delay,Phase 2,Manual,60,
35,104.1,Touch,X = 489,Y = 305,Fail,
36,109.4,Touch,X = 191,Y = 193,Partial,
37,112.3,Touch,X = 453,Y = 430,Fail,
38,116.5,Touch,X = 605,Y = 206,Fail,
39,119.3,Touch,X = 607,Y = 208,Fail,
40,126.0,Touch,X = 459,Y = 94,Fail,
41,130.1,IR Break,,,,
42,134.5,Touch,X = 425,Y = 274,Fail,
43,139.3,Touch,X = 53,Y = 108,Fail,
44,148.0,Touch,X = 574,Y = 362,Fail,
45,155.4,Touch,X = 387,Y = 143,Fail,
46,155.4,Touch,X = 387,Y = 143,Fail,
47,158.8,Touch,X = 294,Y = 144,Fail,
48,160.5,End,Phase 2,Manual,Success,
49,160.5,Show,Phase 2,Manual,3,
50,166.7,Touch,X = 527,Y = 223,Fail,
51,173.6,Touch,X = 208,Y = 307,Success,
52,173.6,Reward,Phase 2,3,Manual,
53,178.1,Touch,X = 564,Y = 151,Fail,
54,182.2,IR Break,,,,
55,182.2,Delay,Phase 2,Manual,60,
56,185.2,IR Break,,,,
57,188.7,Touch,X = 463,Y = 306,Fail,
58,191.6,Touch,X = 260,Y = 417,Fail,
59,194.0,Touch,X = 495,Y = 211,Fail,
60,224.0,Reward,Phase 2,3,Manual,
61,227.8,IR Break,,,,
62,227.8,Delay,Phase 2,Manual,60,
63,232.1,Touch,X = 520,Y = 366,Fail,
64,236.1,IR Break,,,,
65,239.2,Touch,X = 534,Y = 342,Fail,
66,287.8,End,Phase 2,Manual,Success,
67,287.8,Show,Phase 2,Manual,4,
68,302.8,Hide,Phase 2,Manual,,
69,322.9,End,Phase 2,Manual,Fail,
70,322.9,Show,Phase 2,Manual,5,
71,337.9,Hide,Phase 2,Manual,,
72,357.9,End,Phase 2,Manual,Fail,
73,357.9,Show,Phase 2,Manual,6,
74,372.9,Hide,Phase 2,Manual,,
75,392.9,End,Phase 2,Manual,Fail,
76,392.9,Show,Phase 2,Manual,7,
77,407.9,Hide,Phase 2,Manual,,
78,427.9,End,Phase 2,Manual,Fail,
79,427.9,Show,Phase 2,Manual,8,
80,430.2,Touch,X = 488,Y = 358,Fail,
81,433.7,Touch,X = 202,Y = 319,Success,
82,433.7,Reward,Phase 2,8,Manual,
83,435.9,Touch,X = 509,Y = 190,Fail,
84,441.0,IR Break,,,,
85,441.0,Delay,Phase 2,Manual,60,
86,443.9,IR Break,,,,
87,447.4,Touch,X = 612,Y = 294,Fail,
88,450.3,Touch,X = 594,Y = 102,Fail,
89,501.0,End,Phase 2,Manual,Success,
90,501.0,Show,Phase 2,Manual,9,
91,516.1,Hide,Phase 2,Manual,,
92,536.1,End,Phase 2,Manual,Fail,
93,536.1,Show,Phase 2,Manual,10,
94,537.3,IR Break,,,,
95,541.6,Touch,X = 193,Y = 284,Success,
96,541.6,Reward,Phase 2,10,Manual,
97,546.5,IR Break,,,,
98,546.5,Delay,Phase 2,Manual,60,
99,548.2,Touch,X = 554,Y = 383,Fail,
100,550.8,Touch,X = 510,Y = 270,Fail,
101,553.9,IR Break,,,,
102,555.1,IR Break,,,,
103,590.2,Touch,X = 301,Y = 382,Fail,
104,592.8,Touch,X = 274,Y = 151,Fail,
105,598.3,IR Break,,,,
106,601.6,Touch,X = 544,Y = 364,Fail,
107,606.5,End,Phase 2,Manual,Success,
108,606.5,Show,Phase 2,Manual,11,
109,611.2,Touch,X = 118,Y = 547,Fail,
110,621.5,Hide,Phase 2,Manual,,
111,635.2,Touch,X = 578,Y = 393,Fail,
112,641.5,End,Phase 2,Manual,Fail,
113,641.5,Show,Phase 2,Manual,12,
114,649.3,Touch,X = 623,Y = 523,Fail,
115,656.5,Hide,Phase 2,Manual,,
116,676.5,End,Phase 2,Manual,Fail,
117,676.5,Show,Phase 2,Manual,13,
118,689.3,Touch,X = 708,Y = 483,Fail,
119,691.5,Hide,Phase 2,Manual,,
120,691.6,Touch,X = 200,Y = 309,Success,
121,691.6,Reward,Phase 2,13,Manual,
122,698.7,IR Break,,,,
123,698.7,Delay,Phase 2,Manual,60,
124,705.7,Touch,X = 507,Y = 422,Fail,
125,709.3,Touch,X = 168,Y = 424,Partial,
126,713.6,IR Break,,,,
127,717.9,Touch,X = 409,Y = 325,Fail,
128,720.2,Touch,X = 567,Y = 283,Fail,
129,722.2,Touch,X = 184,Y = 533,Fail,
130,724.9,IR Break,,,,
131,758.7,End,Phase 2,Manual,Success,
132,758.7,Show,Phase 2,Manual,14,
